Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
ARCH 201,91%,97%,59%,1%,23%,27%,27%,12%,6%,2%,<1%,1%,1%,<1%,<1%,<1%
ARCH 202,91%,92%,64%,1%,34%,24%,14%,13%,5%,2%,3%,1%,3%,<1%,<1%,1%
ARCH 209,80%,98%,32%,<1%,57%,20%,15%,4%,1%,1%,1%,1%,<1%,<1%,<1%,<1%
ARCH 211,85%,91%,36%,2%,49%,27%,7%,9%,3%,1%,1%,<1%,<1%,<1%,<1%,1%
ARCH 218,92%,91%,91%,2%,38%,28%,14%,10%,3%,2%,1%,<1%,2%,<1%,<1%,<1%
ARCH 312,99%,97%,62%,<1%,33%,24%,17%,15%,6%,2%,1%,1%,<1%,<1%,<1%,<1%
ARCH 313,57%,81%,26%,2%,28%,11%,15%,15%,12%,7%,5%,2%,1%,1%,<1%,1%
ARCH 314,43%,71%,11%,<1%,34%,15%,13%,17%,8%,6%,3%,2%,1%,1%,<1%,1%
ARCH 316,68%,87%,38%,<1%,26%,14%,15%,17%,10%,8%,8%,1%,<1%,<1%,<1%,1%
ARCH 317,55%,87%,60%,<1%,15%,24%,24%,19%,9%,5%,4%,1%,<1%,<1%,<1%,<1%
ARCH 357,77%,94%,29%,4%,18%,23%,23%,12%,6%,5%,2%,2%,1%,1%,1%,<1%
ARCH 409,95%,96%,22%,1%,75%,15%,6%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 412,95%,89%,41%,<1%,28%,34%,20%,10%,5%,1%,1%,<1%,<1%,<1%,<1%,<1%
ARCH 413,77%,83%,29%,<1%,34%,24%,11%,11%,4%,7%,3%,2%,1%,1%,<1%,1%
ARCH 417,46%,80%,41%,<1%,27%,34%,18%,14%,6%,1%,<1%,<1%,<1%,<1%,<1%,1%
ARCH 423,90%,93%,8%,1%,43%,21%,15%,11%,4%,2%,2%,<1%,<1%,<1%,<1%,<1%
ARCH 432,95%,93%,28%,<1%,43%,28%,16%,6%,4%,1%,2%,<1%,<1%,<1%,<1%,<1%
ARCH 466,96%,95%,37%,<1%,83%,11%,1%,<1%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 503,91%,94%,18%,<1%,78%,14%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 505,91%,93%,,6%,74%,12%,4%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 506,94%,96%,25%,<1%,57%,21%,13%,6%,2%,<1%,1%,<1%,<1%,<1%,<1%,<1%
ARCH 509,91%,90%,16%,<1%,54%,29%,11%,4%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 515,46%,68%,37%,<1%,26%,39%,22%,10%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 516,85%,84%,41%,<1%,49%,30%,16%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 523,99%,95%,15%,<1%,57%,19%,19%,3%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
ARCH 527,37%,46%,51%,<1%,34%,20%,14%,18%,7%,4%,2%,1%,<1%,<1%,<1%,<1%
ARCH 537,84%,84%,9%,<1%,47%,50%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 551,89%,100%,12%,<1%,49%,31%,11%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 552,95%,81%,35%,<1%,35%,28%,22%,10%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
ARCH 564,68%,73%,55%,2%,20%,22%,34%,8%,12%,2%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 575,95%,100%,,3%,78%,14%,1%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARCH 583,61%,86%,9%,<1%,27%,25%,24%,15%,6%,2%,1%,<1%,<1%,<1%,<1%,<1%
